,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,dra,up,down
131,PVR,EQ,2017-11-21,1380.35,1382.0,1397.9,1365.4,1367.4,1368.2,1382.55,258094,356826957.75,12130,51661,20.02,1381.357142857143,1417.3170747716608,1345.397210942625
132,PVR,EQ,2017-11-22,1368.2,1354.0,1369.75,1311.4,1360.0,1356.15,1350.78,187387,253119463.95,8648,40391,21.55,1380.8178571428573,1418.1198803328398,1343.5158339528748
133,PVR,EQ,2017-11-23,1356.15,1363.0,1373.4,1340.2,1346.4,1349.1,1352.14,126107,170514294.15,7181,33884,26.87,1379.7071428571428,1419.8972077822132,1339.5170779320724
134,PVR,EQ,2017-11-24,1349.1,1345.0,1345.0,1298.6,1303.25,1303.2,1315.91,297338,391270338.8,14958,142793,48.02,1372.5392857142856,1427.4940948210058,1317.5844766075654
135,PVR,EQ,2017-11-27,1303.2,1303.0,1325.0,1237.8,1312.0,1305.2,1293.49,373151,482668225.35,18073,159689,42.79,1369.732142857143,1434.070570268436,1305.3937154458497
136,PVR,EQ,2017-11-28,1305.2,1301.1,1316.05,1281.5,1307.9,1308.65,1296.21,252913,327829279.35,11258,86384,34.16,1364.642857142857,1436.3649474760189,1292.9207668096954
137,PVR,EQ,2017-11-29,1308.65,1316.9,1317.0,1291.0,1310.4,1313.1,1304.99,134823,175942529.85,5931,29445,21.84,1360.8357142857142,1437.6348471791705,1284.0365813922579
138,PVR,EQ,2017-11-30,1313.1,1306.35,1349.9,1291.85,1317.0,1315.95,1307.63,264775,346226433.25,9483,113152,42.74,1355.2392857142856,1432.94729122774,1277.5312802008314
139,PVR,EQ,2017-12-01,1315.95,1310.1,1337.45,1270.0,1285.1,1278.25,1307.62,180667,236244196.5,9042,49538,27.42,1346.6464285714285,1430.1155335355788,1263.1773236072781
140,PVR,EQ,2017-12-04,1278.25,1289.0,1295.0,1263.55,1275.0,1275.35,1275.28,110992,141545768.3,7905,25963,23.39,1338.4392857142855,1425.9377795788728,1250.9407918496981
